PickupSector,DisposalSite, Distance (km)
CDN-114,Sauvé (AHU),9.785515
CDN-114,Verdun (VER),8.986626
CDN-114,46 ieme (LAC),11.266541
CDN-114,Angrignon (LAS),9.401955
CDN-114,Armand-Chaput (RDP),26.638701
CDN-114,Autoroute 13 (PRF),10.759654
CDN-114,Château Pierrefonds (PRF),23.707488
CDN-114,Lafarge (sud) (MHM),21.950246
CDN-114,Langelier (SLE),17.580758
CDN-114,Newman (S-O),10.910419
CDN-114,Ray-Lawson (ANJ),19.569518
CDN-114,Sartelon (SLA),9.468597
CDN-114,Thimens (SLA),7.892062
CDN-115,St-Michel - Charland (VSP),12.351854
CDN-115,St-Michel - Robert (VSP),11.588466
CDN-115,St-Michel-17ième(Sous-Sol),11.483632
CDN-115,Butler (S-O),10.688746
CDN-115,De la Salle (MHM),17.715506
CDN-115,Fullum (VMA),14.684452
CDN-115,Iberville (PMR),16.467377
CDN-115,Jules-Poitras 1 (AHU),7.084261
CDN-115,Jules-Poitras 2 (SLA),6.541311
CDN-115,Lausanne (MTN),13.651394
CDN-115,Millen (AHU),10.307603
CDN-115,Riverside (VMA),12.851644
CDN-115,Saint-Pierre (LAC),8.53666
CDN-115,Sauvé (AHU),7.926255
CDN-115,Verdun (VER),10.9522
CDN-115,46 ieme (LAC),11.549106
CDN-115,Angrignon (LAS),11.367529
CDN-115,Armand-Chaput (RDP),25.028283
CDN-115,Autoroute 13 (PRF),11.607873
CDN-115,Château Pierrefonds (PRF),24.555707
CDN-115,Lafarge (sud) (MHM),20.339832
CDN-115,Langelier (SLE),15.970343
CDN-115,Newman (S-O),12.875994
CDN-115,Ray-Lawson (ANJ),17.959102
CDN-115,Sartelon (SLA),9.708047
CDN-115,Thimens (SLA),8.740282
CDN-116,St-Michel - Charland (VSP),12.056711
CDN-116,St-Michel - Robert (VSP),11.293323
CDN-116,St-Michel-17ième(Sous-Sol),11.188491
CDN-116,Butler (S-O),10.393604
CDN-116,De la Salle (MHM),17.420365
CDN-116,Fullum (VMA),14.389309
CDN-116,Iberville (PMR),16.172235
CDN-116,Jules-Poitras 1 (AHU),6.789119
CDN-116,Jules-Poitras 2 (SLA),6.246168
CDN-116,Lausanne (MTN),13.356251
CDN-116,Millen (AHU),10.012463
CDN-116,Riverside (VMA),12.556501
CDN-116,Saint-Pierre (LAC),8.241516
CDN-116,Sauvé (AHU),7.631113
CDN-116,Verdun (VER),10.657058
CDN-116,46 ieme (LAC),11.253964
CDN-116,Angrignon (LAS),11.072388
CDN-116,Armand-Chaput (RDP),24.733141
CDN-116,Autoroute 13 (PRF),11.31273
CDN-116,Château Pierrefonds (PRF),24.260566
CDN-116,Lafarge (sud) (MHM),20.044689
CDN-116,Langelier (SLE),15.6752
CDN-116,Newman (S-O),12.580852
CDN-116,Ray-Lawson (ANJ),17.663959
CDN-116,Sartelon (SLA),9.412904
CDN-116,Thimens (SLA),8.44514
CDN-301,St-Michel - Charland (VSP),16.347364
CDN-301,St-Michel - Robert (VSP),15.583976
CDN-301,St-Michel-17ième(Sous-Sol),15.479144
CDN-301,Butler (S-O),7.526794
CDN-301,De la Salle (MHM),14.553555
CDN-301,Fullum (VMA),11.5225
CDN-301,Iberville (PMR),13.305425
CDN-301,Jules-Poitras 1 (AHU),11.083338
CDN-301,Jules-Poitras 2 (SLA),10.918628
CDN-301,Lausanne (MTN),16.664998
CDN-301,Millen (AHU),13.321207
CDN-301,Riverside (VMA),9.689692
CDN-301,Saint-Pierre (LAC),5.374707
CDN-301,Sauvé (AHU),12.170612
CDN-301,Verdun (VER),7.790249
CDN-301,46 ieme (LAC),15.966129
CDN-301,Angrignon (LAS),8.205578
CDN-301,Armand-Chaput (RDP),29.023795
CDN-301,Autoroute 13 (PRF),13.14475
CDN-301,Château Pierrefonds (PRF),26.092584
CDN-301,Lafarge (sud) (MHM),23.742631
CDN-301,Langelier (SLE),19.965854
CDN-301,Newman (S-O),9.714042
CDN-301,Ray-Lawson (ANJ),21.954613
CDN-301,Sartelon (SLA),11.853692
CDN-301,Thimens (SLA),10.277159
IBI-301,St-Michel - Charland (VSP),36.116184
IBI-301,St-Michel - Robert (VSP),35.352797
IBI-301,St-Michel-17ième(Sous-Sol),35.247965
IBI-301,Butler (S-O),34.539172
IBI-301,De la Salle (MHM),41.565934
IBI-301,Fullum (VMA),38.534879
IBI-301,Iberville (PMR),40.317805
IBI-301,Jules-Poitras 1 (AHU),24.463473
IBI-301,Jules-Poitras 2 (SLA),30.687449
IBI-301,Lausanne (MTN),39.47532
IBI-301,Millen (AHU),28.153588
IBI-301,Riverside (VMA),38.712906
IBI-301,Saint-Pierre (LAC),31.590209
IBI-301,Sauvé (AHU),27.00299
IBI-301,Verdun (VER),34.802629
IBI-301,46 ieme (LAC),23.978303
IBI-301,Angrignon (LAS),30.366332
IBI-301,Armand-Chaput (RDP),48.792617
IBI-301,Autoroute 13 (PRF),15.84259
IBI-301,Château Pierrefonds (PRF),9.638987
IBI-301,Lafarge (sud) (MHM),44.104164
IBI-301,Langelier (SLE),39.734672
IBI-301,Newman (S-O),33.244219
IBI-301,Ray-Lawson (ANJ),41.723434
IBI-301,Sartelon (SLA),20.006809
IBI-301,Thimens (SLA),21.431514
LAC-102,St-Michel - Charland (VSP),19.687703
LAC-102,St-Michel - Robert (VSP),18.924316
LAC-102,St-Michel-17ième(Sous-Sol),18.819484
LAC-102,Butler (S-O),14.111374
LAC-102,De la Salle (MHM),21.471111
LAC-102,Fullum (VMA),18.440057
LAC-102,Iberville (PMR),20.22298
LAC-102,Jules-Poitras 1 (AHU),17.047971
LAC-102,Jules-Poitras 2 (SLA),14.258969
LAC-102,Lausanne (MTN),34.637617
LAC-102,Millen (AHU),16.661549
LAC-102,Riverside (VMA),16.60725
LAC-102,Saint-Pierre (LAC),10.853976
LAC-102,Sauvé (AHU),15.510952
LAC-102,Verdun (VER),14.374828
LAC-102,46 ieme (LAC),1.738221
LAC-102,Angrignon (LAS),9.630098
LAC-102,Armand-Chaput (RDP),32.364137
LAC-102,Autoroute 13 (PRF),10.906324
LAC-102,Château Pierrefonds (PRF),17.009891
LAC-102,Lafarge (sud) (MHM),27.675684
LAC-102,Langelier (SLE),23.306193
LAC-102,Newman (S-O),11.138562
LAC-102,Ray-Lawson (ANJ),25.294953
LAC-102,Sartelon (SLA),12.487053
LAC-102,Thimens (SLA),10.903804
LAC-104,St-Michel - Charland (VSP),17.230641
LAC-104,St-Michel - Robert (VSP),16.467252
LAC-104,St-Michel-17ième(Sous-Sol),16.362421
LAC-104,Butler (S-O),15.653629
LAC-104,De la Salle (MHM),23.766102
LAC-104,Fullum (VMA),20.735047
LAC-104,Iberville (PMR),22.517971
LAC-104,Jules-Poitras 1 (AHU),14.590905
LAC-104,Jules-Poitras 2 (SLA),11.801905
LAC-104,Lausanne (MTN),17.548275
LAC-104,Millen (AHU),14.204485
LAC-104,Riverside (VMA),18.902236
LAC-104,Saint-Pierre (LAC),13.148965
LAC-104,Sauvé (AHU),13.05389
LAC-104,Verdun (VER),15.917084
